epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.95,1.92263,2.71972,2.15642,0.2771,0.367,0.21181,0.09047,2.05686,5.3562,2.1483,0.0670699,0.000332627,0.000332627
2,398.947,1.87103,2.3154,2.11503,0.37898,0.30188,0.27984,0.1246,2.03275,3.06348,2.11778,0.0340627,0.000658757,0.000658757
3,597.877,1.80843,2.14225,2.05811,0.41358,0.40464,0.39242,0.18348,1.90153,2.2149,2.01363,0.00102715,0.000956529,0.000956529
4,796.615,1.74942,1.9364,1.97613,0.46876,0.4566,0.44941,0.20781,1.90228,1.89626,2.00856,0.000905463,0.000905463,0.000905463
5,995.351,1.69811,1.78823,1.92311,0.54601,0.47783,0.5226,0.22534,1.91052,1.78462,1.9736,0.00083622,0.00083622,0.00083622
6,1194.73,1.61254,1.57364,1.89635,0.58312,0.45687,0.51773,0.20766,1.96508,1.7373,2.02868,0.0007525,0.0007525,0.0007525
7,1390.93,1.57294,1.47241,1.86524,0.58455,0.51463,0.55533,0.24677,1.88645,1.62513,1.94,0.000657963,0.000657963,0.000657963
8,1589.24,1.54614,1.37662,1.83128,0.64108,0.56574,0.62531,0.27147,1.85987,1.54392,1.92613,0.000556742,0.000556742,0.000556742
9,1788.03,1.51285,1.30596,1.80451,0.68911,0.57734,0.66154,0.29369,1.82188,1.4508,1.89133,0.000453258,0.000453258,0.000453258
10,1986.59,1.48761,1.22056,1.78148,0.68133,0.62837,0.69126,0.32525,1.75075,1.38086,1.83483,0.000352037,0.000352037,0.000352037
11,2184.91,1.45348,1.17419,1.74355,0.69248,0.67637,0.71012,0.31277,1.81341,1.37083,1.88876,0.0002575,0.0002575,0.0002575
12,2380.98,1.4348,1.11978,1.72738,0.70684,0.66786,0.73576,0.35236,1.71243,1.29872,1.79915,0.00017378,0.00017378,0.00017378
13,2580.63,1.39432,1.06627,1.68969,0.76293,0.66753,0.74924,0.35185,1.72927,1.26708,1.82431,0.000104537,0.000104537,0.000104537
14,2776.14,1.38253,1.02592,1.68013,0.77263,0.68211,0.76189,0.34933,1.76523,1.24045,1.84812,5.2795e-05,5.2795e-05,5.2795e-05
15,2972.24,1.36125,0.99846,1.6705,0.77838,0.69687,0.77611,0.36374,1.73189,1.21352,1.81951,2.08169e-05,2.08169e-05,2.08169e-05
