epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.79,2.60056,3.88115,3.29423,0.04106,0.21116,0.02941,0.00821,2.76085,35.8737,3.58631,0.0684004,0.00166314,0.00166314
2,615.525,2.25707,3.07337,2.92892,0.41953,0.15309,0.10384,0.03735,2.2579,6.77833,2.84301,0.0365229,0.00311891,0.00311891
3,907.616,2.09877,2.878,2.76598,0.25207,0.12347,0.08292,0.03337,2.56956,5.49611,3.05285,0.0044342,0.00436358,0.00436358
4,1193.2,2.00336,2.71202,2.65958,0.18834,0.16055,0.11157,0.03993,2.31049,3.41358,2.85292,0.00405,0.00405,0.00405
5,1481.7,1.92541,2.57793,2.57705,0.25458,0.25266,0.21955,0.08454,2.06746,2.66957,2.5937,0.00373333,0.00373333,0.00373333
6,1770.78,1.77038,2.28047,2.46217,0.33536,0.33823,0.29118,0.11224,2.08039,2.4756,2.60512,0.00341667,0.00341667,0.00341667
7,2058.64,1.72519,2.16434,2.42606,0.39551,0.29614,0.2938,0.11385,2.11202,2.51104,2.61508,0.0031,0.0031,0.0031
8,2346.78,1.70913,2.1104,2.40019,0.26711,0.36194,0.28482,0.12669,1.91508,2.23431,2.45791,0.00278333,0.00278333,0.00278333
9,2635.35,1.67638,2.01763,2.37037,0.43239,0.3525,0.35421,0.14987,1.90044,2.18108,2.46984,0.00246667,0.00246667,0.00246667
10,2925.01,1.65768,1.93764,2.34501,0.38931,0.35861,0.33738,0.14587,1.94867,2.32996,2.48826,0.00215,0.00215,0.00215
11,3210.02,1.62927,1.85652,2.32458,0.45153,0.45615,0.42839,0.18645,1.90496,1.99103,2.43199,0.00183333,0.00183333,0.00183333
12,3498.57,1.61192,1.79781,2.3043,0.44951,0.4407,0.41654,0.1702,1.93939,1.98076,2.49697,0.00151667,0.00151667,0.00151667
13,3783.2,1.57656,1.72855,2.26261,0.53295,0.4523,0.45848,0.1953,1.89413,1.86293,2.42213,0.0012,0.0012,0.0012
14,4071,1.5643,1.67239,2.24443,0.5154,0.51043,0.51425,0.2253,1.83446,1.7774,2.38143,0.000883333,0.000883333,0.000883333
15,4359.1,1.53663,1.60991,2.23064,0.54239,0.55322,0.55173,0.2384,1.80638,1.70349,2.34719,0.000566667,0.000566667,0.000566667
