epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.932,1.84229,2.46892,1.82818,0.08986,0.18924,0.04937,0.01733,2.53791,48.9259,2.64379,0.0674718,0.000663842,0.000663842
2,203.935,1.80377,2.00993,1.82087,0.34418,0.293,0.25295,0.11979,2.02961,2.63723,1.85979,0.0348007,0.00132608,0.00132608
3,307.275,1.69107,1.77006,1.70812,0.43858,0.36113,0.33775,0.16174,1.97381,2.14664,1.82708,0.00212512,0.00198387,0.00198387
4,410.673,1.64489,1.62388,1.66512,0.46374,0.47975,0.46285,0.23634,1.77685,1.72933,1.64364,0.00198002,0.00198002,0.00198002
5,514.316,1.58093,1.455,1.61269,0.5384,0.45868,0.46561,0.22951,1.76377,2.00356,1.65405,0.00197336,0.00197336,0.00197336
6,614.373,1.54919,1.37269,1.5807,0.54894,0.50196,0.53629,0.27193,1.72551,1.61407,1.59269,0.0019667,0.0019667,0.0019667
7,717.906,1.51621,1.25936,1.55611,0.61932,0.50451,0.5692,0.28726,1.72356,1.5154,1.58814,0.00196004,0.00196004,0.00196004
8,821.344,1.50343,1.21115,1.53869,0.61134,0.53872,0.58332,0.30247,1.66257,1.49893,1.56985,0.00195338,0.00195338,0.00195338
9,924.935,1.47812,1.18264,1.52657,0.63072,0.54911,0.61443,0.32196,1.66698,1.42696,1.57621,0.00194672,0.00194672,0.00194672
10,1028.34,1.45026,1.10733,1.50168,0.67515,0.55516,0.62731,0.33158,1.67551,1.4592,1.57236,0.00194006,0.00194006,0.00194006
11,1131.85,1.43393,1.07491,1.48426,0.58574,0.52132,0.54724,0.28359,1.68698,1.58082,1.56239,0.0019334,0.0019334,0.0019334
12,1232.21,1.41144,1.02965,1.46508,0.69389,0.58724,0.65726,0.35127,1.64771,1.30816,1.54315,0.00192674,0.00192674,0.00192674
