epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.181,1.78465,2.17112,1.70679,0.47126,0.40298,0.38094,0.19113,1.90357,9.17268,1.87293,0.0670699,0.000332627,0.000332627
2,216.205,1.77692,1.93345,1.72491,0.52662,0.42585,0.42619,0.20956,1.84469,2.03466,1.74772,0.0340659,0.000661902,0.000661902
3,325.718,1.72118,1.78835,1.6656,0.56114,0.40732,0.46782,0.22943,1.79633,1.90428,1.67417,0.00104571,0.000975084,0.000975084
4,434.586,1.64304,1.66935,1.58705,0.61743,0.4693,0.53785,0.26502,1.75697,1.77134,1.6354,0.000946048,0.000946048,0.000946048
5,543.708,1.58804,1.50429,1.55238,0.61698,0.52397,0.57845,0.29816,1.70354,1.59111,1.5876,0.000905463,0.000905463,0.000905463
6,652.511,1.54272,1.40938,1.52228,0.67543,0.59264,0.65519,0.34178,1.67048,1.3814,1.56202,0.000855018,0.000855018,0.000855018
7,761.395,1.51092,1.32787,1.49594,0.71076,0.59407,0.6791,0.36194,1.64764,1.317,1.53608,0.000795954,0.000795954,0.000795954
8,870.067,1.49038,1.29234,1.48376,0.74901,0.62415,0.72333,0.38923,1.61048,1.2505,1.49402,0.000729725,0.000729725,0.000729725
9,979.051,1.46963,1.23142,1.46054,0.70103,0.59455,0.68361,0.35107,1.7022,1.29784,1.53361,0.000657963,0.000657963,0.000657963
10,1084.85,1.42242,1.15846,1.42763,0.76233,0.67189,0.75958,0.4176,1.59181,1.15124,1.4625,0.000582435,0.000582435,0.000582435
11,1194.31,1.38966,1.00374,1.45414,0.74238,0.65955,0.73808,0.41503,1.57924,1.17251,1.46919,0.000505,0.000505,0.000505
12,1300.01,1.36745,0.93383,1.43879,0.73101,0.68726,0.75168,0.42443,1.53736,1.13744,1.43529,0.000427565,0.000427565,0.000427565
13,1409.08,1.32716,0.88753,1.40656,0.77524,0.6809,0.7829,0.44219,1.52026,1.08058,1.42943,0.000352037,0.000352037,0.000352037
14,1517.85,1.31153,0.84667,1.39808,0.80596,0.71957,0.81314,0.46304,1.52114,1.02539,1.41638,0.000280275,0.000280275,0.000280275
15,1626.76,1.28026,0.80468,1.36664,0.7924,0.73338,0.82574,0.47573,1.49324,1.00464,1.39835,0.000214046,0.000214046,0.000214046
16,1735.39,1.25583,0.77472,1.35343,0.81415,0.74442,0.83779,0.48412,1.48768,0.96339,1.3985,0.000154982,0.000154982,0.000154982
17,1844.17,1.23189,0.74269,1.32936,0.76651,0.77138,0.82846,0.4789,1.51334,0.97168,1.40126,0.000104537,0.000104537,0.000104537
18,1949.81,1.20813,0.71702,1.32109,0.76473,0.76905,0.83384,0.48924,1.47716,0.95881,1.39035,6.39518e-05,6.39518e-05,6.39518e-05
19,2058.38,1.20482,0.70972,1.3105,0.78013,0.78506,0.84422,0.49802,1.46211,0.92433,1.38177,3.4227e-05,3.4227e-05,3.4227e-05
20,2167.05,1.19281,0.69243,1.31451,0.77539,0.79379,0.84134,0.49704,1.45935,0.92522,1.37904,1.60943e-05,1.60943e-05,1.60943e-05
