epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.96,2.56978,3.54887,3.03416,0.35866,0.21288,0.08972,0.03138,2.53355,3.34039,2.88084,0.067437,0.00066455,0.00066455
2,297.096,2.01177,2.42356,2.49965,0.18063,0.27411,0.16073,0.06615,2.28896,4.21146,2.64359,0.0347659,0.00132678,0.00132678
3,447.252,1.88681,2.2571,2.35302,0.28434,0.31305,0.25581,0.12181,1.92339,2.46792,2.26418,0.0020904,0.00198458,0.00198458
4,596.595,1.78068,2.02978,2.23506,0.31697,0.30587,0.25895,0.11194,1.9991,2.47104,2.32525,0.00198002,0.00198002,0.00198002
5,742.665,1.76241,1.8811,2.22391,0.34595,0.30191,0.26926,0.12257,1.99682,2.82508,2.31496,0.00197336,0.00197336,0.00197336
6,891.666,1.6881,1.79333,2.14274,0.41229,0.43098,0.37751,0.17845,1.88677,2.07711,2.19942,0.0019667,0.0019667,0.0019667
7,1041.04,1.64535,1.66699,2.10625,0.45072,0.38922,0.38591,0.17204,1.85765,2.08054,2.20138,0.00196004,0.00196004,0.00196004
8,1187.05,1.62648,1.60223,2.08478,0.63013,0.42233,0.49354,0.23526,1.81345,1.81805,2.15066,0.00195338,0.00195338,0.00195338
9,1336.16,1.60993,1.53741,2.07181,0.50118,0.45894,0.48729,0.23276,1.81712,1.88465,2.16354,0.00194672,0.00194672,0.00194672
10,1482.26,1.57687,1.473,2.04557,0.52698,0.52478,0.54474,0.27048,1.77846,1.69898,2.11866,0.00194006,0.00194006,0.00194006
11,1631.7,1.56236,1.41394,2.0256,0.53607,0.53342,0.52485,0.2611,1.79185,1.68043,2.12544,0.0019334,0.0019334,0.0019334
12,1778.06,1.53658,1.36662,2.00105,0.58218,0.52704,0.55436,0.2741,1.77424,1.67952,2.09641,0.00192674,0.00192674,0.00192674
13,1927.27,1.51835,1.32858,1.98672,0.52534,0.49758,0.49368,0.24071,1.81285,1.7192,2.14398,0.00192008,0.00192008,0.00192008
14,2073.16,1.50173,1.29003,1.96578,0.61238,0.52638,0.5659,0.28349,1.7688,1.57698,2.10826,0.00191342,0.00191342,0.00191342
15,2222.01,1.48393,1.25248,1.95846,0.6407,0.57412,0.62603,0.30839,1.76936,1.50237,2.11155,0.00190676,0.00190676,0.00190676
